brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,64,106,,,
FILA,Tênis Fila Float Maxxi 2 Pro Masculino Branco E Verde,899,99,87,25,,
OLYMPIKUS,Tênis Olympikus Noventa Branco Masculino Pro,212,98,20,70,,
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,99,149,99,4.8,(1121)
FILA,Tênis Fila Racer Nairobi,319,90,31,99,,
FILA,Tênis Fila Racer Nairobi  Masculino Cinza E Azul Original,379,99,36,84,,
NEW BALANCE,Tênis Esportivo New Balance Conforto Amortecimento Masculino,499,99,50,,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,71,99,4.5,(9778)
OLYMPIKUS,Tênis Running Masculino Olympikus Titanium Amarelo,493,99,49,40,,
,Tenis Masculino Academia Corrida Wave Force Promoção Barato,75,99,72,19,4.2,(366)
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,99,90,9,71,4.4,(260)
MIZUNO,Tenis Esportivo Exclusivo Atividade Fisica Leve Confortavel,149,90,14,57,4.6,(324)
NIKE,Tênis Nike Renew Ride 3 Masculino,309,99,31,,4.7,(70)
OLYMPIKUS,Tênis Running Masculino Original Olympikus Pride 3,493,99,49,40,,
OLYMPIKUS,Tênis Running Masculino Olympikus Original Hybrid,444,58,44,46,,
OLYMPIKUS,Tênis Running Masculino Olympikus Original Dynamic,345,75,34,58,,
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,198,99,4.8,(5810)
OLYMPIKUS,Tênis Running Masculino Original Olympikus Aros,493,99,49,40,,
BLACK FREE,Kit 2 Pares Tênis Black Free Evolution Masculino Promoção,219,90,31,41,4.5,(642)
,Tenis Masculino Treino Academia Fitness Look Shoes,179,90,79,15,,
MIZUNO,Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida,529,90,386,82,5.0,(4)
OLYMPIKUS,Tênis Running Masculino Olympikus Esportivo Subverse,432,23,43,22,,
NIKE,Tênis Nike Renew Ride 3 Masculino,299,99,29,08,4.7,(65)
OLYMPIKUS,Tênis Running Masculino Original Olympikus Asfalto,345,75,34,58,,
FILA,Tênis Fila Float Maxxi 2 Pro Original,899,99,87,25,,
OLYMPIKUS,Tênis Running Masculino Evasense Olympikus Dynamic,345,75,34,58,,
FILA,Tênis Fila Float Maxxi 2 Masculino,699,90,594,91,,
FILA,Tênis Fila Float Maxxi 2 Pro Masculino Original ,899,99,90,,,
OLYMPIKUS,Tênis Running Masculino Olympikus Diffuse 5,370,46,37,05,,
OLYMPIKUS,Olympikus Zex Masculino Adultos,229,99,163,99,4.7,(139)
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,99,152,99,4.8,(1151)
UNDER ARMOUR,Tênis Under Armour Charged Skyline 4 Masculino Caminhada,399,90,339,40,,
